Symbol,week,total_trading_volume
UBTC,9,3294920.0
XAS,9,1.389887E7
BAY,9,2.003769E7
BLOCK,9,7155680.0
ETC,9,4.07493117E9
MUE,9,1256310.0
STRAT,9,7.519747E7
NANO,9,8.148042E8
MINT,9,3055410.0
QTUM,9,8.383164E8
NMC,9,3397810.0
VTC,9,1.602145E7
SPHR,9,4.565392E7
ETN,9,2.032747E7
EXP,9,4.102956E7
ARK,9,2.802201E7
CHAT,9,2.332393E7
MNTP,9,1108070.0
SYS,9,2.156668E7
ETH,9,1.382967502E10
ARDR,9,2.734259E7
ATB,9,2.074674E7
WICC,9,2.738064E7
DOGE,9,1.2459974E8
EMC,9,1004940.0
SYNX,9,1.035646E7
XP,9,2356410.0
MIOTA,9,2.694202E8
PURA,9,1539360.0
POA,9,1.4479614E8
EDR,9,8731650.0
ELA,9,5.550406E8
RIC,9,6130270.0
XRP,9,2.94013002E9
SC,9,8.036395E7
ZCL,9,2.6679704E8
CLOAK,9,4.535417E7
LTC,9,5.58896321E9
HTML,9,1958300.0
BCD,9,4.131654E7
BURST,9,1.451288E7
MEME,9,1.931033E7
MUSIC,9,1527350.0
XEL,9,2297860.0
BITB,9,1.0040189E8
GBYTE,9,5241730.0
XZC,9,2.731824E7
VRC,9,6.54102E7
NEO,9,1.777787E9
OF,9,1.820617E7
LCC,9,3572660.0
DCR,9,7605580.0
HT,9,1.077231E9
ATMC,9,5.570808E8
FTC,9,1.121603E7
SC,8,1.3999637E8
WAVES,8,2.18032E8
ACT,8,6.277373E7
FRGC,8,1.07983E7
NAV,8,5568860.0
BTG,8,2.699973E8
W3C,8,3.119159E7
VRC,8,1280380.0
MEME,8,3539330.0
ATB,8,2.529631E7
USNBT,8,1.0168122E8
XVG,8,2.759097E8
BCN,8,2.986796E7
SBTC,8,3612910.0
XCP,8,2940440.0
ARDR,8,7.621944E7
BTC,8,5.74405506E10
UBTC,8,5753280.0
NXS,8,1.557034E7
SBD,8,8.865937E7
RDD,8,3.2780837E8
OMNI,8,8652120.0
BITB,8,1.4064981E8
ADA,8,1.505777E9
XAS,8,1.380132E7
ETN,8,1.459953E7
EDR,8,9973200.0
BTS,8,1.0775863E8
SYS,8,2.161493E7
MAX,8,4319870.0
GRS,8,2745980.0
LET,8,5.241017E7
THC,8,2592650.0
ZCL,8,1.551128E8
DOGE,8,2.4291176E8
GAME,8,1.634795E7
QTUM,8,1.0241773E9
MIOTA,8,3.711197E8
RVR,8,9196700.0
OK,8,2241380.0
MONA,8,3.451558E7
